species	gb	bold
Gnathusa caribou	1	3
Stenus semicolon	0	0
Atheta liturata	0	3
Phacophallus pallidipennis	0	0
Tetartopeus captiosus	0	0
Actiastes globifer	0	0
Bisnius nigriventris	2	5
Megarthrus atratus	0	3
Sepedophilus kiteleyi	0	0
Bledius arcticus	5	6
Xylodromus segmentarius	0	0
Acrotona pseudopygmaea	0	0
Myrmecopora sulcata	0	0
Philonthus nitidicollis	0	0
Platydracus fossator	1	5
Phlaeopterus lagrandeuri	8	15
Syntomium keenianum	0	0
Micropeplus minor	0	0
Euconnus fimetarius	7	8
Stenus colonus	0	1
Stenus neglectus	0	1
Orus sinuatus	0	0
Lathrobium debilitatum	0	0
Scaphidium obliteratum	0	0
Megarthrus borealis	0	0
Gyrophaena gilvicollis	0	4
Acrolocha angustior	0	0
Quedius lateralis	16	13
Philonthus rufulus	8	26
Phlaeopterus stacesmithi	0	0
Meotica moczarskii	4	0
Tychus monilicornis	0	0
Atheta diversa	0	2
Neobisnius terminalis	1	2
Paederus littorarius	8	15
Gnathusa alfacaribou	0	0
Myrmecocephalus cingulatus	0	2
Atheta strigosula	7	21
Stenus californicus	0	0
Atheta boreella	0	2
Scaphisoma repandum	6	8
Olophrum celatum	0	0
Astenus cinctus	0	1
Bledius nardus	0	0
Leptobium gracile	0	0
Stenus varipes	0	0
Stenus pollens	0	2
Baeocera picea	1	9
Bledius fennicus	0	0
Palaminus hudsonicus	0	11
Bryophacis rufus punctipennis	0	0
Mycetoporus monticola	1	1
Omalium imitator	0	0
Hylota cryptica	4	5
Gabrius subnigritulus	0	0
Atheta sordidula	3	4
Thinobius longipennis	0	0
Microscydmus minimus	10	19
Euaesthetus chantali	0	0
Lobrathium sewardi	0	0
Nitidotachinus tachyporoides	1	9
Paramblopusa eoa	0	4
Geodromicus hoejeri	0	0
Quedius frigidus	0	5
Astenus pulchellus	0	9
Apocellus sphaericollis	1	6
Tachinus humeralis	17	15
Atheta pallidicornis	19	13
Schistoglossa campbelli	1	5
Philonthus jurgans	8	9
Dinaraea angustula	3	5
Ochthephilus strandi	0	1
Gabrius trossulus	11	15
Stenus strandi	5	5
Atheta pachycera	0	0
Zyras funestus	3	4
Gyrophaena subnitens	0	9
Anotylus saulcyi	0	0
Eusphalerum pothos	399	598
Sepedophilus constans	1	1
Philonthus lederi	1	2
Bledius defensus	3	3
Gauropterus fulgidus	9	13
Oligota uralensicola	0	0
Atheta melanaria	5	5
Pseudopsis sagitta	1	9
Atheta banghaasi	0	0
