species	gb	bold
Brachygluta intricata	0	0
Atheta ischnocera	0	3
Omalium caesum	6	10
Quedius divergens	0	0
Megarthrus depressus	19	8
Acrotona obfuscata	5	8
Dinaraea pacei	3	9
Sepedophilus pedicularius	5	7
Stenus dolosus	1	1
Leptusa pseudopaca	3	7
Bisnius inquietus	0	0
Stenus exploratus	0	4
Ochthephilum fracticorne	20	27
Scopaeus laevigatus	20	20
Astenus gracilis	11	11
Aloconota neocambrica	0	0
Eusphalerum sorbicola	1	1
Boreophilia manitobensis	0	0
Oxytelus pensylvanicus	0	1
Euplectus brunneus	2	2
Eusphalerum californicum	0	0
Oxypoda pseudoconvergens	4	36
Tachinus punctipennis	0	0
Stenus opticus	0	3
Reichenbachia albionica	0	0
Tachyusa americanoides	0	0
Philonthus transbaicalia	0	0
Euryusa castanoptera	11	11
Boreophilia herschelensis	0	0
Quedius spelaeus	0	1
Anthobium atrocephalum	32	36
Stenus nigritulus	1	2
Tachinus bipustulatus	6	6
Gnypeta canadensis	0	0
Atheta stercoris	5	4
Lobrathium subseriatum	0	3
Cypha pulicaria	0	0
Bledius zophus	0	0
Orobanus rufipes	0	0
Phyllodrepa caseyi	0	0
Enalodroma hepatica	0	0
Placusa complanata	0	1
Pseudopsis subulata	0	3
Strigota obscurata	19	50
Parabolitobius inclinans	3	0
Quedius altaicus	0	0
Olophrum assimile	8	8
Parocyusa fuliginosa	0	0
Myllaena masoni	0	0
Atheta riparia	1	4
Philonthus stictus	0	1
Scopaeus minutus	0	0
Liogluta trapezicollis	5	5
Trichiusa robustula	0	19
Aloconota strandi	0	0
Stenus nitens	13	12
Geodromicus brunneus	0	0
Tachinus splendens	0	0
Bryobiota bicolor	0	0
Lathrobium puncticolle	0	0
Atheta britanniae	0	5
Parocalea pseudobaicalica	0	7
Philonthus fusiformis	0	0
Omalium allardii	0	0
Coprophilus striatulus	11	14
Oxypoda stanleyi	0	1
Philonthus fumarius	6	6
Atheta novaescotiae	0	1
Thinusa fletcheri	0	1
Stenus fulvicornis	6	10
Bolitochara tecta	0	0
Tachinus thruppi	0	1
Atheta alesi	2	3
Silusa alternans	1	3
Carpelimus zealandicus	2	2
Aloconota cambrica	9	13
Philonthus latiusculus	0	0
Neuraphes elongatulus	13	15
Bledius washingtonensis	0	0
Hoplandria klimaszewskii	0	4
Ischnoglossa prolixa	5	5
Scaphisoma boreale	0	0
Atheta pseudoklagesi	0	29
Cafius canescens	7	8
Philonthus nigrita	5	6
Stenus formicetorum	3	6
Stenus impressus	0	21
Carpelimus vancouverensis	0	0
Philhygra luridipennis	1	2
Tyrus corticinus	0	0
Oxypoda nigriceps	0	0
Ilyobates nigricollis	2	1
Parothius californicus	1	1
Atheta aquatilis	0	0
Oxypoda lucens	0	0
Proteinus pseudothomasi	0	15
Bisnius puella	3	4
Neobolitobius varians	0	0
Cypha apicalis	0	0
Anotylus rugulosus	0	0
Lophioderus similis	0	0
Tmesiphorus carinatus	0	0
Quedius invreae	2	5
Philonthus micans	13	15
Aleochara inexpectata	0	8
Atheta cursor	0	0
Gabrius splendidulus	20	24
Dropephylla ioptera	10	14
Heterothops conformis	0	0
Tachyporus atriceps	98	107
Strigota ambigua	5	6
Tasgius pedator	0	1
Euconnus pumilus	0	0
Stenus strangulatus	0	1
Euplectus bescidicus	0	0
Euconnus lecontei	0	0
Ousipalia caesula	1	1
Philonthus salinus	1	1
Tachyporus lecontei	0	1
Oxytelus laqueatus	34	45
Ischnosoma flavicolle	0	0
Gyrophaena nana	3	25
Silusa opaca	1	1
Cyphea wallisi	1	4
Erichsonius fraterculus	0	0
Syntomium aeneum	14	15
Atheta donnellyana	0	0
Atheta borealis	0	2
Gyrophaena fuscicollis	0	1
Lomechusa paradoxa	0	0
Phlaeopterus cavicollis	3	5
Atheta pfaundleri	0	0
Cafius bistriatus	0	18
Eurylophus grandiceps	0	0
Tachinus quebecensis	37	42
Staphylinus ornaticauda	0	0
Philonthus sphagnorum	0	0
Rugilus angularis	0	0
Ochthephilus columbiensis	0	0
Proteinus densipennis	0	0
Stenus occidentalis	1	5
Carpelimus subtilis	9	9
Batrisodes scabriceps	0	10
Philhygra pseudolarsoni	0	4
Clusiota antennalis	0	2
Tachyporus jocosus	9	13
Atheta botanicarum	0	0
Acrotona pilosicollis	1	1
Unamis kootenayensis	0	0
Philhygra pseudopolaris	16	18
Mycetoporus inquisitus	0	1
Atheta pandionis	0	2
Tetartopeus sphagnetorum	2	2
Atheta europaea	0	4
Philonthus punctus	6	6
Atheta pseudodistricta	0	0
Lathrobium amplipenne	0	0
Pselaphus bellax	1	7
Philhygra botanicarum	3	6
Isoglossa agnita	0	0
Sepedophilus nigripennis	0	2
Scydmaenus tarsatus	6	7
Phloeopora canadensis	2	4
Atheta britteni	5	6
Gyrophaena nitidula	0	0
Scopaeus brunnipes	0	0
Atheta frosti	2	5
Oxypoda chantali	0	0
Stenus colon	0	0
Bledius poppiusi	7	7
Holobus flavicornis	5	12
Tachyporus ruficollis	11	6
Scydmaenus perrisi	1	0
Paragoniusa myrmicae	0	0
Geodromicus rufipennis	0	0
Tachinus instabilis	0	1
Stenus maritimus	0	3
Proteinus atomarius	3	3
Ischnosoma virginicum	1	6
Phlaeopterus fusconiger	2	3
Falagria sulcatula	8	8
Medon truncatus	0	0
Tachyporus pulchrus	0	0
Oxytelus montanus	1	2
Pella schmitti	0	0
Stenus alopex	0	0
Tychus normandi	0	0
Lypoglossa lateralis	8	8
Aleochara litoralis	0	11
Stenus lugens	0	0
Tetartopeus angularis	0	0
Holobus apicatus	12	9
Atheta martini	0	0
Emus hirtus	0	1
Tetartopeus furvulus	0	7
Anthobium unicolor	0	19
Stenus pinguis	0	0
Megarthrus hemipterus	0	0
Amischa andreasi	0	0
Atheta brachyptera	0	0
Leptusa jucunda	0	5
Pseudolathra lineiformis	0	0
Tachyusa coarctata	6	6
Tarphiota fucicola	4	7
Brachycepsis rothi	0	0
Oxypoda hiemalis	1	3
Gnypeta ripicola	4	4
Aleochara assiniboin	0	0
Mitosynum vockerothi	0	0
Stethusa klimschi	0	0
Tachyusa faceta	0	0
Stenichnus collaris	23	25
Oxytelus incisus	1	2
Quedius fulvicollis	8	9
Philonthus perversus	0	0
Deliphrum tectum	3	3
Oxypoda regressa	0	0
Carpelimus poppiusi	0	0
Stenus guttula	12	16
Philonthus micantoides	2	3
Dinothenarus saphyrinus	0	1
Bisnius versutus	0	2
Anotylus rugosus	41	54
Halobrecta flavipes	0	1
Eusphalerum subsolanum	0	0
Pseudomedon obscurellus	4	4
Euaesthetus iripennis	0	2
Bobitobus fungicola	0	0
Atheta brumalis	0	10
Phloeonomus pusillus	8	8
Sunius bicolor	1	1
Neuraphes coronatus	1	1
Gyrophaena compacta	0	0
Aleochara brundini	0	6
Oxypoda impressa	0	0
Carpelimus halophilus	12	12
Megarthrus angulicollis	1	23
Stenus pallipes	9	9
Homaeotarsus pallipes	0	7
Stenus ruralis	2	4
Acrotona pygmaea	4	4
Platydracus mysticus	8	11
Euaesthetus dybasi	0	0
Cypha aprilis	0	0
Cypha discoidea	4	4
Philonthus caeruleipennis	72	131
Atheta larsoni	0	0
Gyrophaena poweri	1	1
Stenus vicinus	0	0
Medon castaneus	0	0
Philonthus turbo	0	0
Carpelimus fuliginosus	7	7
Atheta pseudopolaris	0	0
Aleochara punctatella	0	3
Gyrophaena fasciata	12	14
Batrisodes striatus	0	1
Habrocerus schwarzi	0	4
Phlaeopterus obsoletus	0	0
Quedius mesomelinus	26	31
Microedus rogersi	0	0
Reichenbachia scabra	0	0
Coproporus immigrans	3	4
Gnypeta uteana	0	0
Phyllodrepa nigra	11	12
Atheta hypnorum	5	6
Erichsonius civicus	0	0
Nitidotachinus horni	0	1
Amischa analis	62	37
Neuraphes angulatus	12	16
Tachyporus chrysomelinus	69	17
Callicerus obscurus	5	8
Geodromicus integer	0	2
Platydracus stercorarius	17	17
Stenus nanus	1	4
Liogluta quadricollis	0	22
Lesteva longoelytrata	24	26
Atrecus affinis	0	24
Proteinus limbatus	0	13
Rabigus pullus	0	0
Stenus paululus	0	0
Hygronoma dimidiata	5	6
Myllaena audax	2	2
Aleochara lata	6	12
Lomechusoides inflatus	0	0
Chanoma vorbringeri	0	0
Philonthus nitidus	7	9
Philonthus succicola	13	19
Sonoma olycalida	0	0
Platydracus rutilicauda	0	0
Placusa canadensis	0	6
Atheta criddlei	0	0
Philonthus rufipes	0	0
Gyrophaena gentilis	7	12
Philonthus albipes	14	19
Lesteva punctata	8	9
Atheta setigera	0	9
Gabronthus sulcifrons	2	4
Philonthus parvicornis	0	0
Acylophorus caseyi	0	5
Atheta campbelli	1	0
Atheta cadaverina	0	3
Gabrius tirolensis	1	1
Atheta complana	0	0
Stenus coarcticollis	0	0
Stenus ellipticus	0	1
Bisnius instabilis	0	0
Aleochara diversa	0	0
Stenus pusillus	3	5
Acylophorus glaberrimus	0	0
Staphylinus dimidiaticornis	0	1
Atheta quadrangularis	0	0
Cyphea latiuscula	0	0
Tachinus bernhaueri	0	0
Atheta castanoptera	4	3
Philonthus spiniformis	1	6
Micropeplus porcatus	3	3
Stenus erythropus	0	2
Autalia truncatula	9	9
Tachyporus nimbicola	0	2
Gyrophaena gaudens	0	13
Holotrochus laevicauda	0	0
Mycetoporus baudueri	0	0
Neuraphes plicicollis	0	0
Quedius criddlei	24	36
Oxypoda pseudolacustris	4	7
Atheta liliputana	0	0
Deinopsis erosa	5	7
Bibloplectus ruficeps	0	0
Syntomium confragosum	0	1
Lobrathium impressimum	0	0
Amphichroum maculicolle	0	0
Scopaeus carolinae	0	0
Ocyusa canadensis	0	4
Philonthus claudus	0	0
Reichenbachia puncticollis	0	0
Philonthus politus	22	26
Oxypoda procerula	6	7
Charhyphus picipennis	0	4
Stenus hyperboreus	2	4
Bisnius palmi	0	1
Bryophacis biseriatus	0	3
Tachinus picipes	2	4
Acylophorus alternans	0	0
Philonthus viridipennis	0	0
Medon insularis	0	0
Atheta subsinuata	1	1
Carpelimus pusillus	22	29
Lathrobium fulvipenne	19	20
Lathrobium sparsellum	0	1
Devia prospera	25	31
Bisnius spermophili	0	0
Boreophilia gelida	0	0
Stenichnus subseriatus	0	0
Stenus latifrons	16	19
Euryporus picipes	1	3
Stenus stygicus	4	9
Myllaena infuscata	3	8
Aloconota eichhoffi	0	0
Placusa pseudosuecica	0	4
Philonthus kaszabi	0	2
Anotylus complanatus	0	8
Eusphalerum sorbi	13	38
Stenus pumilio	5	6
Meronera venustula	25	62
Sepedophilus scriptus	0	7
Philonthus tillius	0	0
Pella lugens	13	0
Stenus egenus	0	5
Stenus solutus	12	14
Atheta relicta	0	0
Amarochara inquilina	0	0
Philonthus schwarzi	0	5
Pselaphus heisei	19	19
Rybaxis transversa	0	2
Heterothops binotatus	0	0
Plectophloeus nitidus	11	14
Tachyporus maculicollis	0	1
Mannerheimia brevipennis	0	0
Atheta oreophila	0	0
Scaphium castanipes	3	5
Stenus retrusus	0	0
Bolitobius cingulatus	9	14
Anthobium melanocephalum	7	8
Nitidotachinus lanei	0	0
Eusphalerum sibiricum	0	0
Stenus cautus	1	0
Atheta cadeti	0	0
Boreophilia nearctica	2	2
Philonthus janus	0	0
Platydracus violaceus	0	17
Linohesperus subhamatus	0	0
Eutheia morae	0	0
Reichenbachia insolita	0	1
Anthophagus omalinus	12	38
Encephalus americanus	0	0
Omalium strigicolle	3	3
Stenus melanarius	8	16
Ocypus aeneocephalus	2	3
Philhygra wisconsinica	0	0
Lathrobium quadratum	0	7
Lordithon appalachianus	17	22
Gabrius expectatus	1	0
Tachyporus tersus	0	1
Lathrobium spissicorne	0	1
Decarthron laurenticum	0	1
Amarochara fenyesi	0	0
Stenus kolbei	0	0
Parocyusa crebrepunctata	0	0
Stenus nitidiusculus	7	13
Atheta nigritula	0	2
Sepedophilus littoreus	26	32
Atheta incognita	0	22
Myllaena potawatomi	0	0
Quedius elevatus	0	0
Stenus insularis	0	2
Atheta nescia	13	15
Liogluta nigropolita	4	8
Philonthus sericans	8	23
Atheta canescens	0	0
Liparocephalus humblei	0	0
Brathinus varicornis	0	1
Aleochara parvicornis	0	0
Euconnus comptus	0	0
Bisnius longicollis	0	0
Diaulota densissima	1	3
Orus parallelus	0	0
Bledius longipennis	0	0
Geodromicus fauveli	0	0
Euryusa optabilis	13	16
Stenus austini	0	7
Micropeplus laevipennis	0	0
Lordithon lunulatus	16	16
Othius lapidicola	3	3
Nudobius pugetanus	0	1
Cephennium thoracicum	8	8
Staphylinus erythropterus	8	8
Mycetoporus eppelsheimianus	1	1
Stenus comma	17	26
Lathrobium shermani	0	0
Aloconota longicollis	0	2
Aleochara intricata	17	19
Anthobium fimetarium	1	1
Aloconota insecta	0	8
Thamiaraea cinnamomea	4	5
Mycetoporus debilis	0	0
Actium retractum	2	3
Pelecomalium testaceum	15	23
Scaphisoma limbatum	0	0
Heterota plumbea	0	1
Omalonomus relictus	0	1
Atheta metlakatlana	2	5
Atheta deformis	0	2
Neotobia alberta	0	0
Decarthron stigmosum	0	0
Cafius sericeus	1	1
Silusa rubra	0	0
Pella funesta	0	0
Stenus vexatus	0	1
Stenus scabriculus	1	1
Rhopalocerina clavigera	0	0
Aleochara sparsa	0	17
Lophioderus myops	0	0
Eusphalerum lapponicum	2	3
Aleochara obscurella	0	5
Bledius rugosulus	0	0
Oxypoda inimica	0	0
Quedius limbatus	10	12
Philonthus debilis	9	13
Stenus semiputatus	0	0
Adota gnypetoides	1	4
Proteinus hyperboreus	0	0
Stenus angustus	0	0
Lordithon cinctus	8	26
Siagonium americanum	0	0
Platydracus cinnamopterus	8	17
Lesteva sicula	9	9
Quedionuchus longipennis	16	0
Stenus alveolatus	0	0
Amischa sahlbergi	0	0
Atheta lioglutoides	0	0
Boreophilia latifemorata	0	0
Bledius tenenbaumi 	0	0
Platydracus tomentosus	1	3
Atheta excelsa	0	2
Reichenbachia cylindrarta	0	1
Lathrobium tenebrosum	0	0
Thinobius brevipennis	0	0
Stenus permundus	0	0
Atheta grisea	0	0
Philonthus atratus	7	8
Tachinus schneideri	1	1
Ramecia crinita	0	0
Gyrophaena gracilis	0	1
Aleochara gaudiuscula	0	0
Quedius brunnipennis	9	17
Baeocera youngi	1	2
Quedius oculeus	0	2
Omalium foraminosum	6	33
Philhygra rostrifera	0	12
Anotylus sculpturatus	9	8
Quedius tahomae	0	0
Gabrius osseticus	12	14
Anaquedius vernix	2	5
Stenus baicalensis	0	0
Philonthus thoracicus	3	10
Carpelimus schneideri	0	0
Euthiconus conicicollis	0	0
Atheta surgens	0	0
Brachygluta arguta	0	0
Tetrascapha dentata	0	0
Bisnius quediinus	0	1
Acrotona troglodita	0	0
Aleochara bipustulata	17	18
Stenus geniculatus	6	2
Scydmaenus rufus	13	14
Bibloporus minutus	4	5
Amischa tersa	0	0
Lordithon axillaris	0	0
Neobisnius paederoides	0	0
Xylodromus suteri	0	0
Ischnosoma bergrothi	0	0
Stenus intrusus	0	0
Quedius vulneratus	0	0
Boreophilia vega	3	4
Notothecta confusa	0	0
Bryaxis curtisii	1	3
Acrotona smithi	0	1
Euplectus decipiens	0	0
Platystethus americanus	0	1
Deleaster concolor	0	0
Quedius pellax	0	0
Sonoma cascadia	0	6
Boreophilia fusca	2	2
Anotylus placusinus	0	0
Baeocera nana	0	0
Oxypoda nimbata	0	4
Scaphisoma lacustre	0	0
Sunius peregrinus	0	0
Scaphisoma subalpinum	6	6
Megarthrus sinuatocollis	0	17
Dalmosella tenuis	0	0
Neobisnius sobrinus	0	7
Myllaena elongata	4	5
Atheta intermedia	0	5
Euplectus infirmus	7	7
Philonthus furcifer	0	0
Stenus binotatus	14	15
Stenus vinnulus	0	2
Batrisodes albionicus	0	2
Amischa setifera	0	0
Ocypus olens	24	35
Aleochara laramiensis	0	0
Stenus cicindeloides	22	25
Proteinus basalis	0	8
Homaeotarsus californicus	0	0
Philonthus tenuicornis	17	17
Atheta glabriculoides	0	0
Stenus parallelopipedus	0	2
Phloeonomus suffusus	2	2
Coryphium nigrum	0	0
Quedius incisus	6	9
Reichenbachia macho	0	0
Carpelimus lindrothi	18	7
Tachyporus obscurellus	0	0
Neobisnius senilis	1	5
Atheta lippa	0	3
Lophioderus biformis	0	1
Euconnus clavipes	0	0
Crataraea suturalis	12	14
Micropeplus browni	1	1
Gymnusa pseudovariegata	4	12
Philonthus chalceus	0	0
Carpelimus manchuricus	0	0
Bibloporus ultimus	2	2
Bledius nanus	0	5
Actizona trifoveata	0	4
Euconnus ventralis	0	0
Cypha longicornis	6	8
Stenus longitarsis	0	0
Reichenbachia fusticornis	0	0
Stictolinus flavipes	3	5
Euaesthetus pugetensis	0	0
Orochares angustatus	0	0
Gabrius shulli	0	0
Boreaphilus henningianus	6	8
Philonthus umbrinoides	0	4
Hoplandria lateralis	1	2
Carpelimus corticinus	26	33
Gymnusa lindrothi	0	0
Tachinus arcticus	0	0
Atheta concessa	0	0
Pachystilicus hanhami	0	0
Placusa depressa	5	4
Lathrobium simplex	6	0
Oxyporus major	0	4
Euaesthetus laeviusculus	7	15
Acrotona sylvicola	3	3
Eusphalerum rugulosum	0	7
Lathrobium interglaciale	0	0
Sonoma grandiceps	0	1
Aloconota sulcifrons	3	5
Alianta curta	0	0
Nehemitropia lividipennis	6	9
Aleochara verna	54	63
Gabrius sphagnicola	0	0
Oxyporus kiteleyi	0	0
Aleochara moerens	6	8
Euconnus testaceipes	0	0
Ocyusa maura	10	12
Stenus ludyi	1	3
Bledius nitidicollis	0	0
Oxyporus quinquemaculatus	0	6
Philhygra jarmilae	6	15
Schistoglossa sphagnorum	0	1
Quedius terminatus	0	0
Quedius ochripennis	11	11
Schistoglossa hampshirensis	0	2
Tachyusa objecta	0	0
Stenus ogenus	0	0
Tachinus edwardi	0	0
Leptusa cribrata	0	0
Atheta angusticauda	0	0
Dacrila fallax	1	4
Atheta rurigena	0	0
Oxypoda vicina	0	3
Tachinus canadensis	0	0
Thiasophila canaliculata	0	0
Leptusa ruficollis	24	17
Gnypeta caerula	0	0
Thinusa maritima	0	2
Lathrobium dilutum	0	0
Oxypoda flavicornis	4	6
Philonthus caurinus	0	1
Aleochara inconspicua	0	6
Atheta lapponica	5	5
Eusphalerum luteum	17	24
Ochthephilum collare	4	5
Tinotus acerbus	0	0
Eusphalerum pseudaucupariae	0	0
Myrmoecia lugubris	0	0
Haploglossa villosula	8	9
Quedius montivagus	0	1
Heterothops minutus	1	2
Bledius gallicus	23	28
Myrmecocephalus gatineauensis	4	6
Philhygra angusticauda	0	12
Stenus reconditus	0	3
Oligota pumilio	12	14
Brundinia meridionalis	1	1
Oxypoda brachyptera	0	2
Falagria caesa	9	11
Haploglossa nidicola	2	2
Platystethus capito	0	1
Quedius scitus	0	9
Cilea exilis	2	2
Paederus iowensis	0	0
Oxyporus rufus	5	9
Leptacinus formicetorum	9	11
Heterothops balthasari	0	0
Deinopsis canadensis	0	0
Phloeostiba lapponica	20	168
Gabrius appendiculatus	13	17
Gyrophaena hanseni	0	0
Lathrobium geminum	10	12
Cypha inexpectata	3	16
Bisnius rainieri	0	0
Dinothenarus fossor	1	0
Arpedium quadrum	6	6
Oligota inflata	0	0
Arpedium puncticolle	0	0
Lathrobium rufipenne	9	8
Quedius meridiocarpathicus	0	0
Parothius punctatus	1	2
Philonthus palliatus	0	4
Phlaeopterus loganensis	0	1
Atheta burwelli	2	8
Stenus flavipalpis	12	17
Xylostiba monilicornis	3	3
Pycnota paradoxa	0	0
Pella limbata	2	0
Atheta pittionii	0	8
Amarochara bonnairii	0	0
Schistoglossa gemina	4	5
Liogluta turbida	0	0
Oxypoda alternans	46	23
Micropeplus fulvus	9	11
Homaeotarsus carolinus	0	1
Stenus pauperculus	0	1
Ischnosoma splendidum	48	62
Euplectus acomanus	0	2
Atheta gagatina	14	22
Coproporus ventriculus	9	15
Philonthus ferreipennis	0	2
Bisnius lautus	0	1
Aloconota coulsoni	0	0
Philhygra terrestris	0	2
Quedius balticus	0	0
Gyrophaena criddlei	0	1
Bledius omega	0	0
Cypha laeviuscula	2	2
Euplectus silvicolus	0	0
Calodera uliginosa	0	0
Tachinus marginatus	5	5
Eccoptolonthus rutiliventris	2	0
Paederus littoralis	24	24
Lordithon antennatus	0	0
Oxypoda gnara	0	0
Encephalus complicans	1	2
Bledius glaciatus	0	0
Decarthron abnorme	0	1
Boreophilia islandica	1	5
Euconnus illustris	0	0
Batrisodes hubenthali	0	0
Neohypnus emmesus	0	1
Reichenbachia juncorum	4	4
Stenus flavipes	18	19
Neobisnius lathrobioides	0	1
Mycetoporus mulsanti	2	0
Lyprocorrhe anceps	8	8
Stictalia californica	2	2
Mycetoporus rufescens	4	5
Aploderus linearis	0	0
Quedius brevis	6	8
Bibloporus bicolor	17	22
Lathrobium armatum	0	2
Pycnoplectus linearis	0	0
Acylophorus pronus	0	5
Oxypoda smithi	0	0
Lathrobium confusum	0	1
Euaesthetus mundulus	0	0
Megarthrus pictus	0	3
Sepedophilus bipustulatus	0	0
Euryusa coarctata	0	0
Leptacinus intermedius	12	19
Schistoglossa charlottae	0	1
Pachnida nigella	0	10
Bledius bosnicus	0	0
Lobrathium collare	1	7
Aploderus caelatus	7	7
Pselaphus fustifer	0	1
Pella cognata	0	0
Anthophagus angusticollis	7	8
Pseudomicrodota paganettii	0	0
Hoplandria laeviventris	0	0
Homaeotarsus pimerianus	13	2
Quedius cinctus	21	24
Stenus humboldti	0	0
Amblopusa brevipes	0	0
Orochares tumidus	0	0
Ischnopoda umbratica	1	1
Tachinus rainieri	0	0
Quedius pediculus	2	6
Atheta scapularis	0	11
Actiastes foveicollis	0	8
Micropeplus robustus	0	0
Trigonurus sharpi	0	2
Atheta curvipennis	2	2
Philonthus spinipes	8	10
Gabrius cushmani	0	0
Mycetoporus maerkelii	0	1
Tachyporus californicus	0	4
Mycetoporus pacificus	0	1
Stenus flavicornis	1	1
Aleochara thoracica	1	3
Stenus tahoensis	0	0
Dinarda maerkelii	2	2
Medon ripicola	7	7
Quedius puncticeps	0	2
Tachyporus browni	0	2
Gyrophaena dybasi	0	0
Quedius nevadensis	0	0
Atheta savardae	0	4
Atheta manitobae	0	0
Oxypoda recondita	0	3
Omalium littorale	5	7
Brachycepsis subpunctata	0	0
Bobitobus kelleyi	0	0
Scaphisoma balcanicum	3	3
Tachinus atripes	0	0
Atheta celata	8	9
Sonoma hespera	0	0
Bledius filipes	1	1
Oxypoda haemorrhoa	3	5
Pella carolinae	0	0
Geodromicus nigrita	4	4
Oxypoda exoleta	3	4
Stenus cariniceps	0	2
Oxypoda frigida	8	35
Quedius lucidulus	17	21
Atheta whitehorsensis	0	0
Aleochara tahoensis	0	8
Rugilus rufipes	42	48
Atheta laevana	18	18
Bledius atricapillus	5	0
Oxypoda induta	0	0
Placusa atrata	4	4
Stenus cribratus	0	0
Stenus columbianus	0	0
Liogluta granigera	5	5
Aleochara milleri	1	1
Quedius aenescens	0	0
Aleochara bimaculata	0	4
Nordenskioldia columbiana	0	0
Stenichnus pusillus	0	0
Stenus caenicolus	0	0
Thesium cavifrons	0	0
Atheta vestita	7	12
Philonthus boreas	4	2
Stenus sylvester	1	1
Tachyusa cavicollis	0	0
Neothetalia nimia	9	9
Machaerodes carinatus	0	0
Gyrophaena pseudocriddlei	0	1
Tachinus fimetarius	12	13
Oxypoda convergens	0	3
Lobrathium multipunctum	7	13
Remus mutatus	0	0
Atheta autumnalis	0	0
Quedius quadriceps	0	0
Parocalea nearctica	2	2
Reichenbachia congener	0	0
Ocalea rivularis	3	3
Sepedophilus opicus	2	10
Deinopsis illinoisensis	0	0
Placusa cribrata	0	0
Zoosetha incisa	0	0
Stenus lustrator	5	5
Brachygluta terebrata	0	0
Ontholestes cingulatus	86	151
Stenichnus ovipennis	0	0
Bobitobus pulchellus	0	0
Myllaena intermedia	14	15
Geodromicus stiricidii	0	0
Phyllodrepa melanocephala	5	6
Aleochara shelleyae	0	2
Astenus brevipennis	0	0
Atheta pilicornis	4	4
Boreophilia nomensis	2	6
Medon dilutus	0	0
Euconnus longiceps	0	1
Omalium excavatum	0	1
Cafius luteipennis	0	3
Gymnusa variegata	6	7
Leptoscydmus caseyi	0	0
Leptusa brevicollis	0	20
Tachyporus pallidus	6	7
Bryophacis crassicornis	0	0
Poromniusa procidua	0	0
Rugilus dentatus	0	0
Acrotona benicki	0	0
Medon fusculus	2	5
Arpedium stillicidii	0	0
Quedius paraboops	0	0
Orobanus falli	0	0
Brachyusa concolor	3	4
Tachyporus solutus	17	20
Gyrophaena boleti	18	21
Aleochara sculptiventris	2	9
Stenus leviceps	0	0
Gnypeta groenlandica	0	0
Stenus femoratus	0	1
Carpelimus congener	0	0
Lobrathium rubricolle	0	0
Quedius unicolor	0	0
Meotica pseudowinkleri	0	0
Parocyusa rubicunda	5	7
Lobrathium coloradense	1	4
Orobanus tarsalis	0	0
Rugilus angustatus	7	10
Bledius condensus	0	0
Euplectus idahoensis	0	4
Lordithon quaesitor	0	5
Seeversiella globicollis	1	19
Philonthus aurulentus	0	2
Aleochara quadrata	0	0
Bledius melanocephalus	0	0
Stictocranius mariae	0	0
Philonthus cerambus	0	0
Gabrius astutoides	0	3
Thinobius frizzelli	0	0
Tachinus nigricornis	0	3
Acrulia inflata	8	8
Hydrosmecta pseudodiosica	1	4
Philonthus archangelicus	0	0
Anotylus nitidulus	15	15
Gyrophaena keeni	2	21
Phloeopora gilbertae	0	3
Atheta subtilis	10	13
Lobrathium grande	1	8
Ocalea picata	26	25
Silusida marginella	4	10
Palporus nitidulus	0	0
Bledius crassicollis	0	0
Amphichroum floribundum	0	0
Gnypeta rubrior	0	1
Pycnoglypta campbelli	7	10
Ochthephilus omalinus	8	8
Lordithon vandykei	0	0
Rugilus similis	1	3
Bisnius crestonensis	0	0
Vellica longipennis	0	0
Gyrophaena lobata	0	3
Boreophilia eremita	6	6
Lordithon pulchellus	2	2
Carphacis nepigonensis	0	6
Reichenbachia corporalis	0	1
Diglotta sinuaticollis	0	0
Phyllodrepa melis	2	2
Trichiusa postica	0	0
Sunius propinquus	0	4
Philonthus mannerheimi	1	1
Homaeotarsus cribratus	2	6
Aleochara stichai	0	4
Laetulonthus laetulus	0	0
Euconnus fatuus	0	0
Quedius charactus	0	3
Quedius impar	0	0
Dinaraea planaris	0	0
Quedius brevicornis	14	14
Stenus aquilonius	0	0
Eusphalerum segmentarium	0	0
Diochus schaumii	0	4
Pelecomalium puberulum	2	2
Holoboreaphilus nordenskioldi	14	27
Oxypoda skalitzkyi	1	4
Stenus europaeus	1	4
Homalota plana	13	18
Bledius turgidus	0	4
Omalium rugatum	13	14
Euplectus bonvouloiri	0	0
Tachinus elongatus	11	36
Mycetoporus angularis	0	0
Oxypoda testacea	0	0
Gabrius virilis	0	0
Tachinus brevipennis	0	0
Acrotona onthophila	0	0
Gyrophaena strictula	7	7
Neobisnius villosulus	3	7
Oxypoda rugicollis	0	1
Stenus pusillimus	0	0
Euconnus denticornis	1	1
Thamiaraea hospita	3	3
Philonthus lepidus	7	7
Lordithon facilis	27	48
Philonthus decorus	18	21
Megarafonus ventralis	0	0
Gymnusa campbelli	0	2
Phloeopora arctica	0	0
Aleochara binotata	3	4
Placusa pumilio	6	7
Mocyta orbata	0	0
Aleochara villosa	1	2
Gabrius bidentatus	0	0
Bledius spectabilis	5	4
Euconnus brevicornis	0	0
Atheta gyllenhalii	4	4
Lomechusa pubicollis	5	5
Carpelimus quadripunctatus	0	0
Philonthus carbonarius	68	81
Olophrum dejectum	0	0
Lordithon poecilus	5	9
Betocalea pacifica	0	1
Lordithon thoracicus	49	94
Sunius melanocephalus	11	14
Philonthus pubes	0	0
Haploglossa pulla	0	1
Stenus callosifrons	0	0
Atheta satanas	0	0
